"LEI, MFI code for branches",co2_ch4_n2o_scope_1_3,carbon_intensity,emission_reduction_policy,carbon_neutral_commitment,air_emissions_sox_nox_pm,land_area_affected,biodiversity_protection_actions,fsc_pefc_certified_sourcing,climate_risk_assessment_done,resilience_score,environmental_fines,iso_14001_exists,reporting_quality_score,green_product_revenue,green_buildings_area,resource_efficiency_index,total_energy_consumption,renewable_energy_share,hazardous_waste_generated,recyclable_packaging_share,toxic_spills,waste_recycled_share,water_withdrawal,emf_exposure,gmo_products,ods_emissions,safety_transparency_trials,collective_bargaining_coverage,fair_wage_gap,community_investment,health_impact_score,csr_contribution,customer_satisfaction_score,hiv_program_coverage,human_rights_violations,diversity_representation,child_labor_compliance,indigenous_consent_verification,access_to_services,healthcare_access_employees,animal_welfare_compliance,training_hours,turnover_rate,injury_frequency_rate,contract_compliance,union_membership,product_safety_compliance,responsible_marketing_compliance,supplier_audits,esg_oversight_policy,board_diversity,governance_compliance_score,esg_incentive_bonus,assurance_score,green_financing,ceo_chair_split,auditor_independence_score,ethical_breaches,anti_competitive_violations,corruption_cases,privacy_compliance,financial_inclusion,global_compact_membership,shareholder_rights_score,site_closure_plan,tax_transparency_reporting,lobby_spending,systemic_risk_level,market_price_share,market_value_equity,smallest_shareholder_name,majority_shareholder_shares,minority_shareholder_shares,outstanding_shares,largest_shareholder_pct,majority_shareholder_pct,minority_shareholder_pct,total_shares,military_connection_risk_head,asset_growth_pct,birthdate_risk_head,capital_expenditure,capital_intensity_fixed_asset,cash_and_equivalent,cash_dividend,cash_holding,cash_turnover,operation_complexity,current_ratio,debt_to_equity_ratio,depreciation,dividend_payout_ratio,dividend_per_share,eps,earnings_after_tax,ebit,earnings_quality,financial_expenses,goodwill,gross_sales,human_capital_cost,income_tax,intangible_assets,lag_inventory,lag_net_sales,ln_cash_equivalent,market_price_high,market_price_low,market_price_open,largest_shareholder_name,net_inventory,net_sales,net_working_capital,pe_ratio,reporting_currency,retained_earnings,times_interest_earned,tobins_q,z1,z2,z3,z4,z5,controlling_shareholder_info,incorporation_year,ipo_year,num_business_segments,num_employee,company_name,reporting_year,nace,asset_turnover,capital_intensity,cash_ratio,debt_maturity,debt_to_asset_ratio,operating_leverage,eat_growth,fixed_asset_intensity,gross_profit_margin,lag_cf_operating,net_cf_investing,net_cf_operating,net_profit_margin,pbv,quick_ratio,roa_eat,solvency_ratio,account_receivable,current_asset,current_liabilities,fixed_asset,inventory_turnover,lag_market_price,lag_total_asset,non_current_asset,roe_eat,total_asset,total_debt,total_equity
529900UKZBMDBDZIXD62,4.45,,TRUE,FALSE,,,TRUE,,TRUE,22.41,57.79,TRUE,23.38,16.69,1.49,25.55,51.36,73.69,86.07,24.9,,55.96,29.26,,,,,,87.1,93.22,23.71,67.02,61.02,81.74,29,8.09,TRUE,FALSE,30.3,7.93,,,32.89,,FALSE,46.29,51.58,FALSE,TRUE,TRUE,16.08,39.67,FALSE,77.51,75.52,TRUE,63.8,4,17,48,TRUE,43.99,FALSE,93.42,,FALSE,25.81,Low,856595.18,796438.36,,218411.25,947141.74,error,,170546.32,401084.51,,,,,416631.89,,270358.47,928273.52,907570.03,,,1.103,0.885,715985.96,705429.08,60128.37,171685.96,929460.58,909077.4,3.428,932970.7,788133.31,,498067.1,28346.16,446079.7,,,,582211.45,891263.25,509466.75,Pacific Capital,,,742273.76,2.561,Global Holdings,,0.583,,,,,,,,1971,1987,991736.21,,Alpha Corp,1969,,,,1.085,,0.887,,719927.25,,,,960872.29,300362.48,571723.9,1.372,3.727,575131.26,2.502,992892.72,559365.67,434271.33,400828.49,,,116268.91,,309690.8,821916,186572.35,651407.79
529900S9YO2JHTIIDG38,2.54,44.69,TRUE,TRUE,,,TRUE,,FALSE,23.29,71.43,,43.01,,58.62,,2.58,54.14,64.1,29.53,,,52.46,,,,,58.38,95.22,44.94,69.51,98.77,94.57,26.15,17,,FALSE,,22.23,67.7,,89.79,68.52,,TRUE,99.99,98.8,FALSE,TRUE,FALSE,99.6,60.59,FALSE,37.88,7.23,TRUE,7.58,35,18,18,TRUE,24.05,,33.47,,FALSE,45.54,Low,221880.17,321787.19,,94536.78,861135.67,74519.72,,753307.04,389897.11,858353.28,,,,775751.33,,321534.39,990505.88,647223.62,,,4.813,1.295,894257.46,787364.11,723327.43,344198.59,284468.24,99693.7,2.184,597353.02,978094.75,,648356.05,953093.56,456174.14,,,,225083.72,301361.04,163626.56,Unknown,,,733716.26,1.511,Alpha Corp,803286.15,1.588,,,,,,,Alpha Corp,2008,1981,677673.01,324688.86,Pacific Capital,2012,,,,1.12,31203.05,2.752,,390576.59,,,,759399.93,646250.27,50921.07,0.058,1.715,319615.15,2.389,71817.37,789571.25,,,,3084.53,47265.54,912845.95,389473.51,827638.67,419848.37,499448.21
PQOH26KWDF7CG10L6792,19.65,34.16,,TRUE,,,TRUE,,FALSE,76.06,29.99,TRUE,90.82,,36.71,5.06,38.86,6.13,60.35,42.32,,61.18,37.99,,,,,61.13,79.33,42.53,31.87,17.19,43.55,46.02,32,,,TRUE,25.13,96.55,,,59.18,,TRUE,,73.91,FALSE,FALSE,,13.7,71.97,TRUE,97.68,41.76,FALSE,52.65,42,,2,TRUE,,TRUE,56.98,,,37.4,High,404435.82,520379.68,,258235.51,224128.46,257604.8,682957.6,,343226.46,,,,,145670.6,,590687.34,707293.47,865322.14,,,0.373,,88228.31,880444.19,247302.85,260844.57,744633.99,763178.44,2.958,966279.72,260986.99,,853696.76,210589.59,213573.8,,,39592.19,549103.73,256721.97,126342.38,Alpha Corp,,,565459.09,,N/A,509016.16,0.095,,,,,,,N/A,1999,1989,336144.72,960552.22,Pacific Capital,1968,,,,,793723.54,4.545,,,,,,451013.83,566816.69,213252.81,1.413,4.469,316580.11,3.016,116260.54,77656.52,734917.86,,,95796.8,,574559.79,248429.04,435526.04,917070.7,853651.64
529900XSTAE561178282,45.75,26.4,FALSE,TRUE,,,FALSE,,FALSE,3.24,25.02,TRUE,25.71,1.06,66.63,18.26,63.68,46.02,2.64,47.05,,98.93,58.31,,,,,,39.91,,46.67,6.72,1.22,30.87,43,71.47,FALSE,FALSE,76.68,,,2.17,10.84,20.27,FALSE,29.13,21.6,FALSE,FALSE,,,71.42,TRUE,78.69,75.11,,11.93,,21,48,FALSE,66.33,,70.35,,FALSE,50.73,,216617.94,,,605834.53,527853.37,96484.25,99787.67,699171.77,491854.94,919828.27,,667864.9,,505120.58,,738492.22,,945471.78,,,2.606,0.877,151457.63,786364.65,335024.82,160466.96,976473.96,96409.46,,965011.98,756414.22,,569286.69,41855.16,,,,409273.92,,94512.16,947046.12,,,,63467.05,4.018,,415163.45,1.865,,,,,,,Alpha Corp,2013,2002,535267.78,782371.04,N/A,1956,,,,1.657,687236.91,1.375,,884702.49,,,,25653.57,94977.13,951085.35,3.622,4.435,418599.36,0.218,464628.43,301861.35,58555.16,430233.98,,421786.98,790927.79,,,988633.06,945138.78,33496.64
529900SXEWPJ1MRRX537,,60.87,TRUE,FALSE,,,FALSE,,FALSE,76.48,,FALSE,14.48,43.41,60.3,27.41,38.54,72.15,18.7,74.93,,,19.66,,,,,,59.57,32.13,42.75,94.12,81.95,50.85,,62.17,TRUE,,,38.93,,,43.83,6.5,FALSE,,96.71,TRUE,TRUE,,1.25,87.37,FALSE,89.07,82.25,FALSE,57.23,11,2,26,TRUE,14.65,FALSE,76.07,,FALSE,50.97,,241350.91,637209.11,,56506.76,,884928.81,872565.83,584916.21,435828.71,566791.36,,787173.78,,8453.04,,31495.2,460175.71,924154.88,,,3.259,,220496.72,864143.24,31641.57,273438.67,577419.02,,2.085,,949964.37,,,292165.21,398610.58,,,342950.19,905210.34,653644.82,946784.46,Global Holdings,,,576522.31,,Global Holdings,663385.89,0.232,,,,,,,Global Holdings,2008,1952,874018.67,625397.54,N/A,2018,,,,3.92,659602.17,3.465,,,,,,365333.38,865604.54,400679.09,1.771,3.336,169464.95,3.81,272009.26,186303.74,543040.32,433889.05,,217488.71,229873.17,962066.24,279658.08,881141.99,304722.1,154855.94
529900D4CD6DIB3CI904,19.16,23.49,TRUE,,,,FALSE,,FALSE,56.12,89.37,FALSE,22.27,42.53,60.91,5.55,51.88,56.42,44.67,74.68,,59.78,40.99,,,,,69.23,16.14,64.05,84.6,59.25,27.06,,49,3.44,TRUE,TRUE,76.94,58.73,,15.4,9,98.04,TRUE,33.82,99.9,FALSE,,TRUE,66.67,42.28,TRUE,58.91,48.2,TRUE,47.35,8,37,,FALSE,24.96,,98.74,,,43.75,High,,690210.02,,,86354.13,684203.97,,719739.52,,415028.71,,775276.02,,23689.97,,587558.67,,832779.01,,,2.03,0.384,127154.45,390463.46,33036.25,143107.76,901694.08,665462.81,1.718,452182.18,460036.17,,,702338.96,200874.85,,,219867.62,467670.7,344017.45,679250.66,Global Holdings,,,695413.67,2.348,Pacific Capital,756990.28,0.196,,,,,,,Global Holdings,1962,1973,,466225.35,,,,,,1.78,390908.76,2.891,,878157.08,,,,122453.83,302346.15,30029.54,2.117,3.76,384100.53,1.958,373011.13,155298.1,480302.9,741637.21,,843671.73,283941.42,,942242.47,127848.17,229929.44,508847.09
5299000I7Y60A8273788,33.49,91.75,FALSE,TRUE,,,FALSE,,FALSE,83.11,59.91,TRUE,56.76,47.26,40.13,29.85,85.8,73.7,84.14,69.39,,45.8,,,,,,,56.36,12.63,36.76,38.12,37.15,,,92.3,FALSE,FALSE,99.42,41.67,,41.12,96.56,17.92,FALSE,80.86,22.12,FALSE,TRUE,FALSE,84.12,62.12,FALSE,95.38,62.91,,18.18,6,6,,,90.12,,67.71,,,48.34,Low,604030.01,449918.38,,848500.17,218103.52,565753.1,632108.57,,646178.43,244057.19,,37913.24,,903473.85,,775880.35,56046.87,4940.59,,,1.5,0.15,535521.35,451943.32,,762232.19,443177.59,957595.93,1.999,261590.45,637182.14,,,797068.02,470950.34,,,791258.91,534266.15,654075.55,330032.34,Alpha Corp,,,629062.43,0.841,Unknown,34773.65,3.762,,,,,,,Alpha Corp,1953,1980,674820.48,144318.83,Unknown,2001,,,,,112584.86,,,956252.49,,,,949545.42,470032.12,707542.71,3.816,2.744,816767.67,0.813,433431.64,663112.45,992592.47,753516.86,,797504.45,535516.3,281143.71,938334.34,27403.62,350207.02,203769.41
529900WIJT833AWXWQ36,93.89,0.62,FALSE,,,,FALSE,,TRUE,64,45.86,TRUE,77.26,28.29,62.47,80.97,15.06,36.02,38.55,62.84,,89.2,18.41,,,,,14.93,66.56,66.71,20.87,16.55,92.93,94.88,48,72.26,TRUE,TRUE,42.38,8.98,,39.84,73.78,79.21,TRUE,19.94,61.68,FALSE,FALSE,FALSE,54.99,89.62,FALSE,47.95,90.39,TRUE,44.29,20,1,47,FALSE,49.54,TRUE,33.84,,TRUE,62.83,Medium,631967.68,815855.28,,431504.95,132804.72,113448.95,623673.23,758046.31,584292.29,385143.53,,775578.27,,,,,716899.91,475941.49,,,3.198,4.852,187385.98,580198.3,,445650.49,840771.85,750797.31,,106427.3,,,707808.9,167632.96,111767.9,,,199541.46,961891.01,178040.95,,Global Holdings,,,663257.9,1.863,Unknown,454745.81,2.419,,,,,,,Unknown,1961,,754005.87,616750.65,Alpha Corp,1975,,,,3.908,92629.42,2.908,,998924.05,,,,734256.83,294683.9,954410.62,2.289,4.006,419051.56,3.647,782010.36,575541.19,784707.55,942644.07,,606610.99,872003.7,,,,66035.21,569322.25
529900ICKT0K5E1BTY38,,,TRUE,TRUE,,,FALSE,,FALSE,70.65,69.83,FALSE,60.19,,4.47,77.22,70.75,62.94,17.66,,,9.41,15.12,,,,,,29.3,20.61,13.09,67.14,30.35,2.12,44,93.53,FALSE,,87.18,60.99,,70.29,80.1,14.44,FALSE,42.59,,,TRUE,TRUE,43.11,87.8,TRUE,49.72,24.55,FALSE,75.94,4,17,,TRUE,76.83,FALSE,82.49,,,20.35,Low,286959.56,80219.56,,527438.18,504135.68,,318095.39,338593.15,551629.98,373800.29,,497523.5,,632713.96,,938263.67,783182.29,523912.72,,,1.247,4.681,,267958.1,400366.62,910458.53,502581.62,806043.8,1.413,436807.64,957619.4,,46890.32,13126.05,124341.37,,,916605.92,294477.56,459327.15,384869.15,Global Holdings,,,20447.84,3.846,N/A,701282.55,3.891,,,,,,,Alpha Corp,1975,1987,301957.31,906786.24,N/A,2017,,,,4.271,339632.98,1.686,,485109.46,,,,59606.67,136777.17,816127.56,2.788,2.507,840201.44,3.698,,694885.56,756323.22,,,837709.24,926377.83,64356.36,73571.26,42018.54,689386.66,736058.62
529900ESWL1AEC189F69,77.34,75.19,TRUE,FALSE,,,TRUE,,FALSE,44.83,55.61,,92.29,18.01,23.83,,8.59,95.65,24.5,34.75,,34.11,69.08,,,,,85.61,92.52,,69.76,50.08,55.62,21.08,41,,TRUE,TRUE,23.18,,,25.22,20.63,36.57,TRUE,70.89,44.76,TRUE,TRUE,TRUE,91.84,71.94,,46.99,88.93,TRUE,27.37,21,26,,FALSE,30.21,TRUE,12.96,,FALSE,70.85,Medium,665278.91,903060.51,,179443.22,479770.16,,269195.78,597903.5,565288.3,82960.41,,187555.93,,983946.76,,,,532870.66,,,,,141807.59,552391.6,102649.99,14088.66,621776.31,166266.51,2.665,456298.66,490464.96,,111363.79,,245430.38,,,892125.71,85918.98,321435.04,145366.84,Unknown,,,850718.23,1.835,Pacific Capital,384344.64,4.679,,,,,,,Global Holdings,2013,,597760.37,371691.72,Pacific Capital,,,,,4.69,336058.55,2.398,,25843.6,,,,225225.02,511964.17,,4.578,0.514,459624.11,1.28,848034.58,140790.65,847958.86,708126.78,,884632.2,401635.72,479365.36,664623.98,166351.69,76621.97,
