no,lei_mfi_code_for_branches,type,banks,ground_for_significance,scope_1_emissions_tco2e,scope_2_emissions_tco2e,scope_3_emissions_tco2e,emission_reduction_policy_score,renewable_energy_share,community_investment_eur,diversity_representation,health_safety_score,board_strategy_esg_oversight_score,green_financing_eur,total_revenue_eur,reporting_quality_score
1,54930056IRBXK0Q1FP96,CI,"ABANCA Corporación Bancaria, S.A.",Size (Total assets EUR 50-75 bn),1004.36,0.0,2592.07,4.0,1.0,17700000.0,0.3329999999999999,4.0,4.0,1078000000.0,1572000000.0,4.0
2,BFXS5XCH7N0Y05NIXW11,CI,ABN AMRO Bank N.V.,Size (Total assets EUR 300-500 bn),30000.0,,4940000.0,3.0,,500000000.0,,,2.0,500000000.0,8780000000.0,2.0
3,529900UKZBMDBDZIXD62,CI,Addiko Bank AG   ,Significant cross-border activities,835.0,2858.0,582349.0,3.0,0.28,,0.5660000000000001,3.0,4.0,18.0,276600000.0,3.0
4,635400AKJBGNS5WNQL34,FH,AIB Group plc,Size (Total assets EUR 100-150 bn),2670.0,4909.0,2200000.0,4.0,0.6,10800000.0,0.4,4.0,4.0,3700000000.0,4722000000.0,4.0
5,213800HDJ876ACJXXD05,FH,AikGroup (CY) Limited,"Among the three largest credit institutions in
the Member State",,,3348760.0,4.0,,,,,4.0,,422192000.0,4.0
6,213800DBQIB6VBNU5C64,CI,ALPHA BANK S.A.,Size (Total assets EUR 50-75 bn),1473.0,18419.0,35102566.0,4.0,0.89,2443000.0,0.385,4.0,4.0,800000000.0,2290000000.0,4.0
7,549300YW95G1VBBGGV07,CI,"AS ""SEB banka""",Among the three largest credit institutions in,495.0,196.0,167000000.0,4.0,0.87,818000.0,0.36,4.0,4.0,1183000000.0,246000000.0,4.0
8,2138009Y59EAR7H1UO97,CI,AS “Citadele banka”,Among the three largest credit institutions in,82.4,343.4,3887105.6,4.0,0.73,,0.67,4.0,4.0,115000000.0,234000000.0,4.0
9,529900JG015JC10LED24,FH,AS LHV Group,"National economic importance (quantitative
assessment - GDP)",0.0,737.0,729538.0,,,282000.0,0.597,,,90210000.0,310500000.0,2.0
10,549300ND1MQ8SNNYMJ22,CI,AS SEB Pank,,796.0,777.0,11678.0,4.0,0.95,5562999.5841611605,0.4,4.0,4.0,30790555837.91526,23522339786.53606,4.0
11,724500A1FNICHSDF2I11,CI,ASN Bank N.V.,Size (Total assets EUR 50-75 bn),355.0,525.0,1250354.0,4.0,0.45,141000.0,0.38,4.0,4.0,3800000000.0,1414000000.0,4.0
12,254900RNFMDM0P11YR84,FH,Atlantic Lux HoldCo S.à r.l.,Size (Total assets EUR 30-50 bn),2783.0,1068.0,974.0,4.0,0.87,30000.0,0.369,4.0,4.0,4800000000.0,,4.0
13,7LVZJ6XRIE7VNZ4UBX81,CI,Banca Mediolanum S.p.A.,Size (Total assets EUR 30-50 bn),2628.41,13.56,4040041.09,4.0,0.994,16585000.0,0.4934,4.0,4.0,1048390000.0,5321346000.0,4.0
14,J4CP7MHCXR8DAQMKIL78,CI,BANCA MONTE DEI PASCHI DI SIENA S.p.A.,Size (Total assets EUR 100-150 bn),4206.9,26055.9,19677733.09,4.0,1.0,932600000.0,0.5,4.0,4.0,486000000.0,3797000000.0,4.0
15,"K8MS7FD7N5Z2WQ51AZ71
",CI,"Banco Bilbao Vizcaya Argentaria, S.A.","Size (Total assets EUR 500-1,000 bn)",13224.86,0.0,36688.02,4.0,1.0,9591296.524292074,0.51,2.0,4.0,9778056.63415096,10519130599.488588,4.0
16,815600E4E6DCD2D25E30,CI,Banco BPM S.p.A.,Size (Total assets EUR 150-300 bn),10602.9,2851.8,13193.9,4.0,1.0,5800000.0,0.297,4.0,4.0,7000000000.0,4938000000.0,4.0
17,JU1U6S0DG9YLT7N8ZV32,CI,"Banco Comercial Português, S.A.", Size (Total assets EUR 75-100 bn),5502.0,5756.0,6839678.0,4.0,0.974,2400000.0,0.31,4.0,4.0,7073000000.0,11218400000.0,4.0
