co2_ch4_n2o_scope_1_3,carbon_intensity,emission_reduction_policy,carbon_neutral_commitment,climate_risk_assessment_done,resilience_score,environmental_fines,iso_14001_exists,reporting_quality_score,total_energy_consumption,renewable_energy_share,hazardous_waste_generated,waste_recycled_share,water_withdrawal,collective_bargaining_coverage,fair_wage_gap,customer_satisfaction_score,human_rights_violations,diversity_representation,training_hours,turnover_rate,injury_frequency_rate,esg_oversight_policy,board_diversity,governance_compliance_score,esg_incentive_bonus,assurance_score,ceo_chair_split,auditor_independence_score,ethical_breaches,anti_competitive_violations,corruption_cases,market_value_equity,asset_growth_pct,debt_to_equity_ratio,pe_ratio,net_profit_margin,roa_eat,solvency_ratio,roe_eat
4.45,50.39,1.0,0.0,1.0,22.41,57.79,1.0,23.38,51.36,73.69,86.07,55.96,29.26,49.855000000000004,87.1,61.02,29.0,8.09,50.44,32.89,48.91,1.0,16.08,39.67,0.0,77.51,1.0,63.8,4.0,17.0,48.0,796438.36,502303.19,0.885,2.561,571723.9,575131.26,2.502,309690.8
2.54,44.69,1.0,1.0,0.0,23.29,71.43,0.0,43.01,2.58,54.14,64.1,48.61,52.46,58.38,95.22,94.57,17.0,49.165000000000006,89.79,68.52,48.91,0.0,99.1516,60.59,0.0,37.88,1.0,7.58,35.0,18.0,18.0,321787.19,502303.19,1.295,1.511,50921.07,319615.15,2.389,389473.51
19.65,34.16,0.0,1.0,0.0,76.06,29.99,1.0,90.82,38.86,6.13,60.35,61.18,37.99,61.13,79.33,43.55,32.0,49.165000000000006,50.44,59.18,48.91,1.0,13.7,71.97,1.0,97.68,0.0,52.65,42.0,23.0,2.0,520379.68,502303.19,2.5,2.495,213252.81,316580.11,3.016,248429.04
45.75,26.4,0.0,1.0,0.0,3.24,25.02,1.0,25.71,63.68,46.02,2.64,98.93,58.31,49.855000000000004,39.91,1.22,43.0,71.47,2.17,10.84,20.27,1.0,51.35,71.42,1.0,78.69,1.0,11.93,24.0,21.0,48.0,507706.45,667864.9,0.877,4.018,951085.35,418599.36,0.218,501212.11
50.075,60.87,1.0,0.0,0.0,76.48,50.18,0.0,14.48,38.54,72.15,18.7,48.61,19.66,49.855000000000004,59.57,81.95,25.0,62.17,50.44,43.83,6.5,1.0,1.25,87.37,0.0,89.07,0.0,57.23,11.0,2.0,26.0,637209.11,787173.78,2.5,2.495,400679.09,169464.95,3.81,279658.08
19.16,23.49,1.0,0.0,0.0,56.12,89.37,0.0,22.27,51.88,56.42,44.67,59.78,40.99,69.23,16.14,27.06,49.0,3.44,15.4,9.0,98.04,1.0,66.67,42.28,1.0,58.91,1.0,47.35,8.0,37.0,24.0,690210.02,775276.02,0.384,2.348,30029.54,384100.53,1.958,942242.47
33.49,91.75,0.0,1.0,0.0,83.11,59.91,1.0,56.76,85.8,73.7,84.14,45.8,49.94,49.855000000000004,56.36,37.15,25.0,92.3,41.12,96.56,17.92,0.0,84.12,62.12,0.0,95.38,1.0,18.18,6.0,6.0,24.0,449918.38,37913.24,0.15,0.841,707542.71,816767.67,0.813,938334.34
93.89,1.1,0.0,0.0,1.0,64.0,45.86,1.0,77.26,15.06,36.02,38.55,89.2,18.41,14.93,66.56,92.93,48.0,72.26,39.84,73.78,79.21,0.0,54.99,89.62,0.0,47.95,1.0,44.29,20.0,1.0,47.0,815855.28,775578.27,4.852,1.863,954410.62,419051.56,3.647,501212.11
50.075,50.39,1.0,1.0,0.0,70.65,69.83,0.0,60.19,70.75,62.94,17.66,9.41,15.12,49.855000000000004,29.3,30.35,44.0,93.53,70.29,80.1,14.44,1.0,43.11,87.8,1.0,49.72,0.0,75.94,4.0,17.0,24.0,80219.56,497523.5,4.681,3.846,816127.56,840201.44,3.698,73571.26
77.34,75.19,1.0,0.0,0.0,44.83,55.61,0.0,92.29,8.59,95.65,24.5,34.11,69.08,85.61,92.52,55.62,41.0,49.165000000000006,25.22,20.63,36.57,1.0,91.84,71.94,1.0,46.99,1.0,27.37,21.0,26.0,24.0,903060.51,187555.93,2.5,1.835,470283.66000000003,459624.11,1.28,664623.98
