config_id,dataset,variable_set,mode,constraint_mode,seed,epochs,threshold,sparsity_strength,l1_lambda,backend,status,error_message,runtime_seconds,edge_count,edge_count_true,graph_density,f1_directed,precision,recall,shd,violations,forbidden_constraints_passed,required_constraints_passed,constraint_cells_changed,raw_weights_path,final_adjacency_path
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,42,20,0.35,current,0.05,causica_native,success,,25.4979,36,53,0.04433497536945813,0.20224719101123595,0.25,0.16981132075471697,71,4,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed42_constraint_type_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed42_constraint_type_ep20_spcurrent_varsreduced_unconstrained\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,43,20,0.35,current,0.05,causica_native,success,,24.5452,36,53,0.04433497536945813,0.3820224719101123,0.4722222222222222,0.32075471698113206,55,4,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed43_constraint_type_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed43_constraint_type_ep20_spcurrent_varsreduced_unconstrained\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,44,20,0.35,current,0.05,causica_native,success,,23.3475,36,53,0.04433497536945813,0.2696629213483146,0.3333333333333333,0.22641509433962265,65,3,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed44_constraint_type_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed44_constraint_type_ep20_spcurrent_varsreduced_unconstrained\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,45,20,0.35,current,0.05,causica_native,success,,24.0871,28,53,0.034482758620689655,0.14814814814814814,0.21428571428571427,0.11320754716981132,69,2,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed45_constraint_type_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed45_constraint_type_ep20_spcurrent_varsreduced_unconstrained\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,46,20,0.35,current,0.05,causica_native,success,,23.2004,30,53,0.03694581280788178,0.3132530120481928,0.43333333333333335,0.24528301886792453,57,2,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed46_constraint_type_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed46_constraint_type_ep20_spcurrent_varsreduced_unconstrained\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,constrained,native_forbidden_only,42,20,0.35,current,0.05,causica_native,success,,23.6405,40,53,0.04926108374384237,0.21505376344086022,0.25,0.18867924528301888,73,0,32,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_constrained_seed42_constraint_type_ep20_spcurrent_varsreduced_native_forbidden_only_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_constrained_seed42_constraint_type_ep20_spcurrent_varsreduced_native_forbidden_only\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,constrained,native_forbidden_only,43,20,0.35,current,0.05,causica_native,success,,23.0331,45,53,0.05541871921182266,0.40816326530612246,0.4444444444444444,0.37735849056603776,58,0,32,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_constrained_seed43_constraint_type_ep20_spcurrent_varsreduced_native_forbidden_only_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_constrained_seed43_constraint_type_ep20_spcurrent_varsreduced_native_forbidden_only\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,constrained,native_forbidden_only,44,20,0.35,current,0.05,causica_native,success,,22.9857,41,53,0.050492610837438424,0.2553191489361702,0.2926829268292683,0.22641509433962265,70,0,32,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_constrained_seed44_constraint_type_ep20_spcurrent_varsreduced_native_forbidden_only_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_constrained_seed44_constraint_type_ep20_spcurrent_varsreduced_native_forbidden_only\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,constrained,native_forbidden_only,45,20,0.35,current,0.05,causica_native,success,,23.0737,29,53,0.03571428571428571,0.17073170731707316,0.2413793103448276,0.1320754716981132,68,0,32,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_constrained_seed45_constraint_type_ep20_spcurrent_varsreduced_native_forbidden_only_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_constrained_seed45_constraint_type_ep20_spcurrent_varsreduced_native_forbidden_only\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,constrained,native_forbidden_only,46,20,0.35,current,0.05,causica_native,success,,22.8319,43,53,0.05295566502463054,0.3541666666666667,0.3953488372093023,0.32075471698113206,62,0,32,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_constrained_seed46_constraint_type_ep20_spcurrent_varsreduced_native_forbidden_only_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_constrained_seed46_constraint_type_ep20_spcurrent_varsreduced_native_forbidden_only\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,constrained,native_required_only,42,20,0.35,current,0.05,causica_native,success,,22.008,46,53,0.05665024630541872,0.40404040404040403,0.43478260869565216,0.37735849056603776,59,1,0,11,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_constrained_seed42_constraint_type_ep20_spcurrent_varsreduced_native_required_only_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_constrained_seed42_constraint_type_ep20_spcurrent_varsreduced_native_required_only\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,constrained,native_required_only,43,20,0.35,current,0.05,causica_native,success,,22.5945,43,53,0.05295566502463054,0.5208333333333334,0.5813953488372093,0.4716981132075472,46,1,0,11,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_constrained_seed43_constraint_type_ep20_spcurrent_varsreduced_native_required_only_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_constrained_seed43_constraint_type_ep20_spcurrent_varsreduced_native_required_only\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,constrained,native_required_only,44,20,0.35,current,0.05,causica_native,success,,23.2139,43,53,0.05295566502463054,0.45833333333333337,0.5116279069767442,0.41509433962264153,52,4,0,11,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_constrained_seed44_constraint_type_ep20_spcurrent_varsreduced_native_required_only_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_constrained_seed44_constraint_type_ep20_spcurrent_varsreduced_native_required_only\constraint_type_final.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,constrained,native_required_only,45,20,0.35,current,0.05,causica_native,success,,21.9097,33,53,0.04064039408866995,0.39534883720930236,0.5151515151515151,0.32075471698113206,52,1,0,11,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_constrained_seed45_constraint_type_ep20_spcurrent_varsreduced_native_required_only_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_constrained_seed45_constraint_type_ep20_spcurrent_varsreduced_native_required_only\constraint_type_final.npy
