dataset,variable_set,mode,config_id,source,target,frequency,mean_weight,median_weight,std_weight,appears_in_40_percent,appears_in_60_percent,appears_in_80_percent,forbidden_edge,required_edge,ontology_supported,in_synthetic_ground_truth,correct_direction
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,asset_growth_pct,board_strategy_esg_oversight_score,0.2,0.1886399999999999,0.0598,0.2886681735141579,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,asset_growth_pct,ceo_chair_split,0.2,0.09938,0.049,0.1001936005940499,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,asset_growth_pct,emission_reduction_policy_score,0.2,0.0950799999999999,0.0213,0.13601062311452,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,asset_growth_pct,environmental_fines,0.4,0.25348,0.102,0.3236633893414576,True,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,asset_growth_pct,green_financing_eur,0.2,0.0980799999999999,0.0728,0.1027699839447296,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,asset_growth_pct,pe_ratio,0.2,0.1812999999999999,0.065,0.2119537685439916,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,asset_growth_pct,renewable_energy_share,0.2,0.12704,0.0492,0.15613608935797,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,asset_growth_pct,roa_eat,0.2,0.0752799999999999,0.0098,0.131681181647189,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,asset_growth_pct,roe_eat,0.4,0.30478,0.0528,0.3685335827302581,True,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,asset_growth_pct,tobins_q,0.2,0.14306,0.109,0.102284986190545,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,asset_growth_pct,total_asset,0.2,0.1221799999999999,0.0609,0.1593573769864451,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,auditor_independence_score,board_strategy_esg_oversight_score,0.6,0.502,0.7045,0.4142212693718177,True,True,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,auditor_independence_score,ceo_chair_split,0.2,0.1533399999999999,0.0252,0.2566305016945569,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,auditor_independence_score,corruption_cases,0.6,0.53538,0.8044,0.4392025701199846,True,True,False,False,False,False,True,True
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,auditor_independence_score,green_financing_eur,0.2,0.11456,0.0116,0.1397189264201525,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,auditor_independence_score,overall_esg_score,0.2,0.1688,0.0413,0.2837217721642102,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,auditor_independence_score,pe_ratio,0.2,0.1261,0.0363,0.1558141842067018,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,board_diversity,ceo_chair_split,0.2,0.2186799999999999,0.1679,0.2283688455109409,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,board_diversity,corruption_cases,0.2,0.0865,0.0271,0.1165954887635023,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,board_diversity,overall_esg_score,0.4,0.23058,0.0843,0.2324032564315741,True,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,board_diversity,pe_ratio,0.2,0.1314,0.0531,0.1273291953952431,False,False,False,False,False,False,False,False
synthetic_n2000,reduced,constrained,ep20_spcurrent_varsreduced_thr0.250,board_diversity,roa_eat,1.0,1.0,1.0,0.0,True,True,True,False,True,True,True,True
