dataset,mode,seed,threshold,edge_count,edge_count_true,f1_directed,precision,recall,shd,violations,constraint_cells_changed,selected
synthetic_n2000,unconstrained,42,0.001,990,65,0.1232227488151658,0.0656565656565656,1.0,925,32,0,
synthetic_n2000,unconstrained,42,0.005,968,65,0.121974830590513,0.0650826446280991,0.9692307692307692,907,32,0,
synthetic_n2000,unconstrained,42,0.01,914,65,0.118488253319714,0.0634573304157549,0.8923076923076924,863,30,0,
synthetic_n2000,unconstrained,42,0.02,782,65,0.1133412042502951,0.0613810741687979,0.7384615384615385,751,26,0,
synthetic_n2000,unconstrained,42,0.03,665,65,0.1123287671232876,0.0616541353383458,0.6307692307692307,648,20,0,
synthetic_n2000,unconstrained,42,0.05,447,65,0.1328125,0.076062639821029,0.5230769230769231,444,15,0,
synthetic_n2000,unconstrained,42,0.075,307,65,0.1505376344086021,0.0912052117263843,0.4307692307692308,316,11,0,
synthetic_n2000,unconstrained,42,0.1,218,65,0.1696113074204947,0.110091743119266,0.3692307692307692,235,7,0,
synthetic_n2000,unconstrained,42,0.15,134,65,0.1708542713567839,0.126865671641791,0.2615384615384615,165,4,0,
synthetic_n2000,unconstrained,42,0.2,82,65,0.1904761904761904,0.1707317073170731,0.2153846153846154,119,3,0,
synthetic_n2000,unconstrained,42,0.25,54,65,0.1848739495798319,0.2037037037037037,0.1692307692307692,97,3,0,yes
synthetic_n2000,unconstrained,42,0.26,52,65,0.188034188034188,0.2115384615384615,0.1692307692307692,95,3,0,
synthetic_n2000,unconstrained,42,0.27,49,65,0.1754385964912281,0.2040816326530612,0.1538461538461538,94,3,0,
synthetic_n2000,unconstrained,42,0.275,45,65,0.1636363636363636,0.2,0.1384615384615384,92,2,0,
synthetic_n2000,unconstrained,42,0.28,43,65,0.1296296296296296,0.1627906976744186,0.1076923076923077,94,2,0,
synthetic_n2000,unconstrained,42,0.285,43,65,0.1296296296296296,0.1627906976744186,0.1076923076923077,94,2,0,
synthetic_n2000,unconstrained,42,0.3,41,65,0.1320754716981132,0.1707317073170731,0.1076923076923077,92,1,0,
synthetic_n2000,unconstrained,42,0.302,41,65,0.1320754716981132,0.1707317073170731,0.1076923076923077,92,1,0,
synthetic_n2000,unconstrained,42,0.304,40,65,0.1333333333333333,0.175,0.1076923076923077,91,1,0,
synthetic_n2000,unconstrained,42,0.306,40,65,0.1333333333333333,0.175,0.1076923076923077,91,1,0,
synthetic_n2000,unconstrained,42,0.308,39,65,0.1346153846153846,0.1794871794871795,0.1076923076923077,90,1,0,
synthetic_n2000,unconstrained,42,0.31,38,65,0.116504854368932,0.1578947368421052,0.0923076923076923,91,1,0,
synthetic_n2000,unconstrained,42,0.312,38,65,0.116504854368932,0.1578947368421052,0.0923076923076923,91,1,0,
synthetic_n2000,unconstrained,42,0.315,38,65,0.116504854368932,0.1578947368421052,0.0923076923076923,91,1,0,
synthetic_n2000,unconstrained,42,0.32,38,65,0.116504854368932,0.1578947368421052,0.0923076923076923,91,1,0,
synthetic_n2000,unconstrained,42,0.325,35,65,0.12,0.1714285714285714,0.0923076923076923,88,0,0,
synthetic_n2000,unconstrained,42,0.33,32,65,0.1237113402061855,0.1875,0.0923076923076923,85,0,0,
synthetic_n2000,unconstrained,42,0.335,32,65,0.1237113402061855,0.1875,0.0923076923076923,85,0,0,
synthetic_n2000,unconstrained,42,0.34,30,65,0.1263157894736842,0.2,0.0923076923076923,83,0,0,
synthetic_n2000,unconstrained,42,0.35,28,65,0.1290322580645161,0.2142857142857142,0.0923076923076923,81,0,0,
synthetic_n2000,unconstrained,42,0.4,18,65,0.1204819277108433,0.2777777777777778,0.0769230769230769,73,0,0,
synthetic_n2000,unconstrained,42,0.5,11,65,0.0789473684210526,0.2727272727272727,0.0461538461538461,70,0,0,
synthetic_n2000,unconstrained,43,0.001,974,65,0.1116458132820019,0.0595482546201232,0.8923076923076924,923,32,0,
synthetic_n2000,unconstrained,43,0.005,868,65,0.1071811361200428,0.0576036866359447,0.7692307692307693,833,29,0,
synthetic_n2000,unconstrained,43,0.01,719,65,0.1071428571428571,0.0584144645340751,0.6461538461538462,700,28,0,
synthetic_n2000,unconstrained,43,0.02,490,65,0.1225225225225225,0.0693877551020408,0.5230769230769231,487,20,0,
synthetic_n2000,unconstrained,43,0.03,370,65,0.1471264367816092,0.0864864864864864,0.4923076923076923,371,16,0,
synthetic_n2000,unconstrained,43,0.05,224,65,0.1730103806228373,0.1116071428571428,0.3846153846153846,239,11,0,
