no,banks,raw_value,old_parsed_value,new_parsed_value
69,Investeringsmaatschappij Argenta NV ; Société d'investissements Argenta SA ; Investierungsgesellschaft Argenta AG,3430153,3430153.0,3430153.0
81,MDB Group Limited,€11.9 million,11900000.0,11900000.0
8,AS “Citadele banka”,EUR 234 million,234000000.0,234000000.0
7,"AS ""SEB banka""",EUR 246 million,246000000.0,246000000.0
87,Nederlandse Waterschapsbank N.V.,~€246 million,246000000.0,246000000.0
3,Addiko Bank AG   ,€276.6 million,276600000.0,276600000.0
9,AS LHV Group,EUR 310.5 million,310500000.0,310500000.0
43,Citigroup Global Markets Europe AG,€414.2 million,414200000.0,414200000.0
5,AikGroup (CY) Limited,422192000,422192000.0,422192000.0
62,Hamburg Commercial Bank AG,€427 million (Pre-tax profit),427000000.0,427000000.0
20,"Banco Occidental, S.A.","COP 3,187.36 Billion (MMM)",3187360000000.0,3187360000000.0
93,OTP Luxembourg S.à.r.l.,"HUF 2,224,584 million",2224584000000.0,2224584000000.0
72,KfW Beteiligungsholding GmbH,EUR 724.4 billion,724400000000.0,724400000000.0
47,Crédit Agricole S.A.,€373.4 billion,373400000000.0,373400000000.0
105,UBS Europe SE,USD 292.3 billion,292300000000.0,292300000000.0
10,AS SEB Pank,"SEK 80,193 million (Operating Income) / SEK 174,354 million (Gross Income)",254547000000.0,254547000000.0
15,"Banco Bilbao Vizcaya Argentaria, S.A.","Ps. 222,143 million",222143000000.0,222143000000.0
104,Swedbank Baltics AS,"SEK 73,057m",73057000000.0,73057000000.0
64,HSBC Continental Europe,$66.1bn,66099999999.99999,66099999999.99999
95,Promontoria 19 Coöperatie U.A.,"$66,058 million",66058000000.0,66058000000.0
